Mounting Locations
Row Labels,x,y,z
FL LCAF Inboard,-0.2032,0,0
FL LCAF Outboard,-0.3556,0.508,0
FL LCAR Inboard,-0.4772,0,0
FL LCAR Outboard,-0.3556,0.508,0
FL UCAF Inboard,-0.2667,0.0953,0.254
FL UCAF Outboard,-0.3874,0.4445,0.254
FL UCAR Inboard,-0.5334,0.0953,0.254
FL UCAR Outboard,-0.3874,0.4445,0.254
FL Tie Rod Inboard,-0.4318,0,0.0381
FL Tie Rod Outboard,-0.4572,0.5144,0.0381
FL Push/Pull Rod Inboard,-0.3683,0.2477,0.2894
FL Push/Pull Rod Outboard,-0.3683,0.3683,0
FL Applied Force,-0.4064,0.5461,-0.1397
FR LCAF Inboard,-0.1778,-0.4064,0
FR LCAF Outboard,-0.2858,-0.9144,0
FR LCAR Inboard,-0.4445,-0.4064,0
FR LCAR Outboard,-0.2858,-0.9144,0
FR UCAF Inboard,-0.2223,-0.4509,0.235
FR UCAF Outboard,-0.2858,-0.8144,0.235
FR UCAR Inboard,-0.4826,-0.4509,0.235
FR UCAR Outboard,-0.2858,-0.8144,0.235
FR Tie Rod Inboard,-0.3937,-0.381,0.0445
FR Tie Rod Outboard,-0.0381,-0.889,0.0445
FR Push/Pull Rod Inboard,-0.3366,-0.5842,0.2921
FR Push/Pull Rod Outboard,-0.3493,-0.743,-0.0127
FR Applied Force,-0.362,-0.9398,-0.1651
RL LCAF Inboard,-2.1209,0.0625,0
RL LCAF Outboard,-2.2225,0.4953,0.0381
RL LCAR Inboard,-2.375,0.08255,0
RL LCAR Outboard,-2.2225,0.4953,0.0381
RL UCAF Inboard,-2.159,0.06985,0.2286
RL UCAF Outboard,-2.1717,0.46335,0.2413
RL UCAR Inboard,-2.3622,0.08255,0.2286
RL UCAR Outboard,-2.1717,0.46335,0.2413
RL Tie Rod Inboard,-2.2225,0.0953,0.1481
RL Tie Rod Outboard,-2.2225,0.4953,0.1381
RL Push/Pull Rod Inboard,-2.1844,0.127,0.7239
RL Push/Pull Rod Outboard,-2.1844,0.3429,0.228
RL Applied Force,-2.2352,0.4953,-0.209
RR LCAF Inboard,-2.12,-0.597,0
RR LCAF Outboard,-2.2225,-1.016,0.05715
RR LCAR Inboard,-2.38,-0.5969,0
RR LCAR Outboard,-2.2225,-1.016,0.05715
RR UCAF Inboard,-2.18,-0.5969,0.2286
RR UCAF Outboard,-2.18,-0.925,0.228
RR UCAR Inboard,-2.39,-0.5969,0.23
RR UCAR Outboard,-2.18,-0.925,0.228
RR Tie Rod Inboard,-2.2225,-0.6,0.15715
RR Tie Rod Outboard,-2.2225,-1,0.15715
RR Push/Pull Rod Inboard,-2.197,-0.673,0.7239
RR Push/Pull Rod Outboard,-2.1971,-0.857,0.228
RR Applied Force,-2.222,-1.04,-0.209

Applied Forces FL
Row Labels,Fx,Fy,Fz
Max Speed,0,0,576.828
Max Acc.,780.3045,0,390.1523
Max Braking,-1432.9229,0,754.1699
Max Reverse Braking,723.6018,0,413.4867
Max Turn Left,0,732.3899,292.956
Max Turn Right,0,-2151.7501,860.7
Combined Left,151.5307,606.1229,303.0614
Combined Right,378.6284,-1514.5134,757.2567
Max Bump,0,0,2884.14

Applied Forces FR
Row Labels,Fx,Fy,Fz
Max Speed,0,0,576.828
Max Acc.,780.3045,0,390.1523
Max Braking,-1432.9229,0,754.1699
Max Reverse Braking,723.6018,0,413.4867
Max Turn Left,0,2151.7501,860.7
Max Turn Right,0,-732.3899,292.956
Combined Left,378.6284,1514.5134,757.2567
Combined Right,151.5307,-606.1229,303.0614
Max Bump,0,0,2884.14

Applied Forces RL
Row Labels,Fx,Fy,Fz
Max Speed,0,0,865.242
Max Acc.,2290.5112,0,1145.2556
Max Braking,-1138.5353,0,599.2291
Max Reverse Braking,1942.9443,0,1110.2539
Max Turn Left,0,1098.5848,439.4339
Max Turn Right,0,-3227.6252,1291.0501
Combined Left,297.2995,1189.1979,594.5989
Combined Right,637.9459,-2551.7837,1275.8919
Max Bump,0,0,4326.21

Applied Forces RR
Row Labels,Fx,Fy,Fz
Max Speed,0,0,865.242
Max Acc.,2290.5112,0,1145.2556
Max Braking,-1138.5353,0,599.2291
Max Reverse Braking,1942.9443,0,1110.2539
Max Turn Left,0,3227.6252,1291.0501
Max Turn Right,0,-1098.5848,439.4339
Combined Left,637.9459,2551.7837,1275.8919
Combined Right,297.2995,-1189.1979,594.5989
Max Bump,0,0,4326.21

Resultant Forces FL
Row Labels,LCAF,LCAR,UCAF,UCAR,Tie Rod / Driveshaft,Push / Pull Rod
Max Speed,-360.1505,-113.0209,375.3712,89.3186,-222.9542,624.9098
Max Acc.,2109.77,-2371.6947,-338.1473,671.1013,-176.6274,422.6736
Max Braking,-4792.5138,4067.1455,1577.9756,-1004.667,-244.0729,817.0341
Max Reverse Braking,1924.1876,-2209.4767,-279.9404,630.3373,-183.7698,447.9531
Max Turn Left,-461.495,-495.1575,474.5427,275.799,-634.6189,317.3754
Max Turn Right,281.0854,1117.4824,-273.9969,-543.744,1199.1489,932.4441
Combined Left,37.235,-867.391,317.2025,356.2278,-553.6511,328.3233
Combined Right,1245.2096,-356.8602,-381.5722,-62.9386,772.9527,820.3782
Max Bump,-1800.7523,-565.1045,1876.8559,446.5929,-1114.7711,3124.5489

Resultant Forces FR
Row Labels,LCAF,LCAR,UCAF,UCAR,Tie Rod / Driveshaft,Push / Pull Rod
Max Speed,-532.4497,-381.3796,433.7134,59.3625,128.0069,650.864
Max Acc.,2142.0079,-2704.1974,-489.6982,947.1984,-82.8077,440.2284
Max Braking,-5290.9936,3993.5571,2005.0226,-1588.0552,478.4204,850.9679
Max Reverse Braking,1938.6442,-2541.8632,-415.2508,883.687,-65.3204,466.5579
Max Turn Left,1036.4396,1944.843,-540.7655,-159.8023,-602.5076,971.1711
